Id,Response
1,2
3,5
4,6
9,6
12,7
13,7
21,6
28,8
30,5
36,7
38,8
43,8
45,5
48,8
50,6
51,8
54,6
55,7
59,8
62,2
63,6
66,8
69,8
82,8
83,5
84,5
86,8
89,8
90,4
92,8
98,6
100,4
105,5
115,8
119,3
124,4
127,8
133,8
140,5
141,8
143,3
151,3
154,8
157,8
163,4
166,3
168,8
170,4
173,8
180,6
182,8
184,3
185,7
195,8
196,8
197,8
212,6
213,7
219,8
225,1
227,4
232,2
239,6
247,2
251,4
254,4
261,6
264,5
267,8
272,7
275,8
277,4
283,8
284,2
287,7
291,8
293,7
294,3
305,6
307,3
309,8
311,5
322,4
323,6
326,5
330,3
335,8
337,8
338,5
341,1
346,6
348,4
352,4
356,8
358,2
366,6
369,3
373,4
375,4
381,5
384,8
386,3
396,8
397,3
399,7
405,8
412,8
417,3
421,5
425,7
427,8
430,3
432,4
433,7
436,8
438,8
441,8
442,5
444,3
446,7
448,5
450,5
454,8
465,8
470,5
472,2
475,8
484,8
495,8
497,8
498,8
501,5
502,4
505,7
515,3
516,6
527,8
529,4
531,6
533,6
537,3
541,7
546,7
548,6
549,8
550,7
553,7
559,8
561,4
564,2
574,7
578,7
579,5
580,8
582,4
584,8
588,7
596,4
602,3
603,3
613,8
614,1
619,8
620,6
624,8
625,7
628,5
630,5
635,8
636,4
637,8
641,8
644,8
648,8
654,7
658,4
664,8
666,5
667,8
670,8
672,5
674,8
676,8
684,8
685,4
693,1
694,8
700,5
702,4
703,6
705,5
711,7
718,1
722,8
726,3
727,2
732,8
735,8
740,4
748,6
750,7
751,8
756,7
762,6
766,8
770,6
771,6
779,6
782,2
784,8
793,6
798,3
800,4
801,7
805,6
807,4
813,8
819,8
820,7
822,8
823,6
833,8
834,4
842,6
845,8
856,8
860,3
864,3
869,6
872,7
877,5
878,7
893,6
894,8
896,5
899,4
900,5
911,1
914,8
917,1
919,8
923,2
925,4
926,3
934,5
938,7
940,5
955,6
956,6
971,7
973,8
978,8
979,8
981,7
988,6
990,8
992,1
996,8
997,5
999,5
1000,8
1006,6
1009,3
1018,5
1025,4
1038,8
1042,8
1045,5
1046,8
1047,4
1050,4
1052,8
1054,8
1057,7
1061,5
1069,5
1071,6
1073,6
1074,8
1075,3
1083,6
1084,2
1089,4
1099,6
1103,4
1110,8
1123,8
1130,8
1135,6
1137,8
1145,8
1147,3
1152,8
1153,2
1154,8
1158,8
1166,6
1170,5
1172,6
1178,6
1179,8
1181,3
1182,7
1183,8
1191,5
1192,3
1200,3
1205,6
1207,7
1208,4
1209,2
1217,5
1223,8
1225,8
1226,3
1228,2
1230,4
1232,8
1235,8
1237,6
1257,7
1266,1
1267,4
1274,8
1277,8
1278,6
1280,8
1282,7
1293,5
1294,5
1305,8
1306,7
1311,7
1318,5
1320,8
1323,8
1325,3
1328,5
1336,3
1340,8
1341,8
1344,6
1345,6
1348,5
1358,1
1361,8
1364,3
1373,8
1377,3
1378,8
1380,8
1382,7
1383,5
1386,8
1387,1
1390,3
1395,8
1398,5
1402,4
1403,8
1405,8
1407,8
1410,1
1412,1
1419,5
1426,6
1428,8
1436,6
1437,5
1438,4
1441,8
1444,2
1448,4
1454,6
1457,7
1459,8
1463,7
1467,4
1471,6
1475,6
1476,4
1480,6
1481,3
1482,7
1489,5
1491,6
1494,8
1496,8
1500,8
1501,8
1503,6
1504,3
1505,6
1515,5
1517,6
1520,4
1521,6
1523,8
1526,7
1529,6
1530,5
1543,5
1544,8
1547,8
1550,8
1552,5
1554,5
1563,6
1574,4
1575,3
1576,5
1579,4
1582,3
1584,8
1585,8
1589,5
1596,6
1598,3
1611,8
1613,1
1615,5
1618,3
1627,6
1630,3
1638,7
1639,6
1640,8
1642,7
1645,6
1648,5
1654,3
1661,7
1662,7
1663,8
1666,6
1668,3
1670,4
1672,7
1681,6
1682,7
1683,2
1687,8
1688,8
1693,7
1694,6
1700,8
1704,6
1712,8
1716,8
1717,4
1722,5
1724,4
1738,1
1739,2
1740,8
1761,7
1763,8
1765,7
1766,6
1767,7
1771,4
1772,6
1777,8
1784,2
1799,5
1806,7
1810,1
1812,6
1814,3
1818,8
1819,8
1822,5
1823,8
1824,2
1834,5
1835,7
1844,5
1848,3
1849,8
1850,5
1851,3
1856,4
1862,1
1863,6
1872,5
1874,4
1875,8
1877,8
1900,7
1902,5
1904,5
1905,3
1908,8
1914,8
1916,3
1922,3
1933,7
1934,5
1939,6
1942,5
1947,8
1957,8
1971,8
1973,1
1974,5
1977,8
1981,5
1985,8
1987,7
1989,8
2001,4
2002,4
2007,1
2008,8
2011,6
2021,8
2034,7
2040,7
2044,8
2045,8
2048,8
2051,8
2062,8
2066,3
2068,4
2069,4
2074,8
2075,8
2078,7
2079,1
2080,2
2081,4
2084,1
2085,7
2087,8
2096,6
2102,8
2103,5
2107,8
2117,5
2118,2
2120,6
2121,2
2122,4
2130,7
2136,1
2138,8
2140,6
2143,7
2144,5
2145,5
2147,8
2150,3
2154,8
2155,1
2166,5
2169,3
2173,5
2176,1
2178,8
2179,4
2180,8
2184,8
2185,8
2188,4
2190,7
2194,8
2195,7
2198,5
2205,8
2206,7
2207,1
2212,6
2213,7
2216,8
2218,1
2224,8
2225,7
2228,8
2236,6
2242,8
2246,5
2250,8
2255,7
2256,4
2267,3
2268,8
2269,4
2272,4
2275,3
2280,8
2282,8
2287,7
2289,8
2293,8
2296,6
2307,7
2309,7
2313,5
2325,6
2327,8
2336,4
2339,6
2342,8
2347,8
2350,6
2360,7
2364,7
2369,1
2379,3
2394,5
2395,4
2399,8
2402,8
2410,8
